date,indicator,value,period,is_holiday_gap,pct_1d,pct_1w,pct_1m,event_flag
2020-05-14,원/달러 환율,1226.3,D,False,-0.03260780957039522,0.24523828987166318,0.8138770141400853,
2020-05-15,원/달러 환율,1227.9,D,False,0.13047378292425638,0.11414594374237197,1.2868101954961686,
2020-05-18,원/달러 환율,1229.3,D,False,0.11401579933218997,0.9526155867619179,0.8697792729958076,
2020-05-19,원/달러 환율,1231.6,D,False,0.18709834865369146,1.1331910001642242,1.2246239829045713,
2020-05-20,원/달러 환율,1224.5,D,False,-0.5764858720363697,-0.1793429526371626,-0.24439918533605276,
2020-05-21,원/달러 환율,1227.8,D,False,0.26949775418538824,0.12231917149148064,0.6971212991060405,
2020-05-22,원/달러 환율,1230.7,D,False,0.23619482000325487,0.22803159866437994,0.9846557807499767,
2020-05-25,원/달러 환율,1236.2,D,False,0.4469001381327775,0.5612950459611188,0.3979533826037551,
2020-05-26,원/달러 환율,1242.0,D,False,0.4691797443779233,0.8444300097434354,0.5505181347150279,
2020-05-27,원/달러 환율,1237.1,D,False,-0.39452495974235946,1.028991425071446,0.4139610389610304,
2020-05-28,원/달러 환율,1233.7,D,False,-0.27483631072668935,0.48053428897214534,-0.16993040945135762,
2020-05-29,원/달러 환율,1239.4,D,False,0.4620248034368224,0.7069147639554796,0.7396569942290654,
2020-06-01,원/달러 환율,1237.6,D,False,-0.14523156365985335,0.11325028312569874,1.012079660463594,
2020-06-02,원/달러 환율,1227.8,D,False,-0.7918552036199067,-1.1433172302737549,0.7632334837915478,
2020-06-03,원/달러 환율,1224.1,D,False,-0.3013520117282953,-1.0508447174844449,-0.3013520117282953,
2020-06-04,원/달러 환율,1216.9,D,False,-0.5881872396045873,-1.3617573153927198,-0.523175018392863,
2020-06-05,원/달러 환율,1217.4,D,False,0.041088010518519624,-1.7750524447313176,-0.7419486343253068,
2020-06-08,원/달러 환율,1213.1,D,False,-0.35321176277314237,-1.9796380090497778,-0.37776135337111993,
2020-06-09,원/달러 환율,1204.2,D,False,-0.7336575715109928,-1.9221371558885703,-1.1167679421908328,
2020-06-10,원/달러 환율,1197.7,D,False,-0.539777445607037,-2.1566865452168793,-2.3640661938534313,
2020-06-11,원/달러 환율,1194.4,D,False,-0.27552809551639745,-1.8489604733338827,-2.6013210470520964,
2020-06-12,원/달러 환율,1192.8,D,False,-0.1339584728734189,-2.0206998521439257,-2.8585389689714247,
2020-06-15,원/달러 환율,1206.6,D,False,1.15694164989939,-0.5358173275080369,-1.846579354103961,
2020-06-16,원/달러 환율,1210.8,D,False,0.348085529587272,0.5480817140009808,-1.6888600194868375,
2020-06-17,원/달러 환율,1206.6,D,False,-0.3468780971258689,0.7430909242715167,-1.4618211514904167,
2020-06-18,원/달러 환율,1214.5,D,False,0.6547323056522503,1.6828533154721992,-1.083238312428736,
2020-06-19,원/달러 환율,1213.0,D,False,-0.1235076163030091,1.6934942991281066,-1.4382058990818236,
2020-06-22,원/달러 환율,1212.0,D,False,-0.08244023083264773,0.4475385380407815,-1.9576120368872352,
2020-06-23,원/달러 환율,1213.2,D,False,0.0990099009900991,0.1982160555004997,-2.3188405797101463,
2020-06-24,원/달러 환율,1210.1,D,False,-0.255522584899448,0.2900712746560563,-2.18252364400614,
2020-06-25,원/달러 환율,1202.9,D,False,-0.5949921494091237,-0.9551255660765645,-2.4965550782199863,
2020-06-26,원/달러 환율,1205.2,D,False,0.19120458891013214,-0.6430338004946412,-2.7593997095368805,
2020-06-29,원/달러 환율,1198.6,D,False,-0.5476269498838504,-1.105610561056114,-3.1512605042016806,
2020-06-30,원/달러 환율,1200.7,D,False,0.17520440513933977,-1.030333003626771,-2.2071998696856054,
2020-07-01,원/달러 환율,1198.5,D,False,-0.18322645123678427,-0.9585984629369437,-2.0913324074830375,
2020-07-02,원/달러 환율,1201.6,D,False,0.2586566541510127,-0.10807215894922395,-1.2572931218670536,
2020-07-03,원/달러 환율,1201.0,D,False,-0.049933422103853875,-0.34848987719880986,-1.3471332347626208,
2020-07-06,원/달러 환율,1200.4,D,False,-0.04995836802663689,0.1501752044051452,-1.0469046245156877,
2020-07-07,원/달러 환율,1196.8,D,False,-0.29990003332224235,-0.32481052719247616,-0.6145158611526425,
2020-07-08,원/달러 환율,1192.9,D,False,-0.32586898395721153,-0.46725073007926055,-0.4007681389329498,
2020-07-09,원/달러 환율,1195.8,D,False,0.24310503814233275,-0.4826897470039948,0.11721366376422626,
2020-07-10,원/달러 환율,1194.5,D,False,-0.10871383174443361,-0.5412156536219848,0.14252179745137816,
2020-07-13,원/달러 환율,1202.4,D,False,0.6613645876936136,0.1666111296234618,-0.3480855295872498,
2020-07-14,원/달러 환율,1200.3,D,False,-0.17465069860280735,0.2924465240641716,-0.8671952428146668,
2020-07-15,원/달러 환율,1206.4,D,False,0.5082062817629129,1.1316958672143551,-0.01657550140889974,
2020-07-16,원/달러 환율,1200.7,D,False,-0.47248010610080327,0.40976751965211555,-1.1362700699876438,
2020-07-17,원/달러 환율,1204.1,D,False,0.2831681519113838,0.8036835496023409,-0.7337180544105593,
2020-07-20,원/달러 환율,1205.7,D,False,0.13287932895940102,0.2744510978043957,-0.5198019801980203,
2020-07-21,원/달러 환율,1203.7,D,False,-0.16587874263913616,0.2832625177039194,-0.7830530827563464,
2020-07-22,원/달러 환율,1198.1,D,False,-0.4652322007144716,-0.6879973474801182,-0.9916535823485617,
2020-07-23,원/달러 환율,1193.7,D,False,-0.3672481428929064,-0.5829932539352045,-0.7648183556405397,
2020-07-24,원/달러 환율,1198.5,D,False,0.40211108318672917,-0.46507765135784807,-0.5559243279123827,
2020-07-27,원/달러 환율,1201.3,D,False,0.23362536503963582,-0.3649332338060973,0.2252628066077067,
2020-07-28,원/달러 환율,1196.6,D,False,-0.39124282027803714,-0.589847968762991,-0.3414674773049131,
2020-07-29,원/달러 환율,1195.1,D,False,-0.1253551729901381,-0.25039646106335134,-0.28368794326242286,
