date,indicator,value,period
20200630,원/유로 환율,1350.19,D
202007,기준금리,0.5,M
20200701,원/달러 환율,1198.5,D
20200701,원/엔 환율,1110.08,D
20200701,원/유로 환율,1346.75,D
20200702,원/달러 환율,1201.6,D
20200702,원/엔 환율,1118.39,D
20200702,원/유로 환율,1352.28,D
20200703,원/달러 환율,1201.0,D
20200703,원/엔 환율,1116.85,D
20200703,원/유로 환율,1349.92,D
20200706,원/달러 환율,1200.4,D
20200706,원/엔 환율,1115.92,D
20200706,원/유로 환율,1350.03,D
20200707,원/달러 환율,1196.8,D
20200707,원/엔 환율,1114.86,D
20200707,원/유로 환율,1354.0,D
20200708,원/달러 환율,1192.9,D
20200708,원/엔 환율,1108.9,D
20200708,원/유로 환율,1344.94,D
20200709,원/달러 환율,1195.8,D
20200709,원/엔 환율,1114.6,D
20200709,원/유로 환율,1355.26,D
20200710,원/달러 환율,1194.5,D
20200710,원/엔 환율,1114.06,D
20200710,원/유로 환율,1348.23,D
20200713,원/달러 환율,1202.4,D
20200713,원/엔 환율,1125.05,D
20200713,원/유로 환율,1360.46,D
20200714,원/달러 환율,1200.3,D
20200714,원/엔 환율,1118.69,D
20200714,원/유로 환율,1361.92,D
20200715,원/달러 환율,1206.4,D
20200715,원/엔 환율,1124.53,D
20200715,원/유로 환율,1376.26,D
20200716,원/달러 환율,1200.7,D
20200716,원/엔 환율,1123.25,D
20200716,원/유로 환율,1370.66,D
20200717,원/달러 환율,1204.1,D
20200717,원/엔 환율,1121.92,D
20200717,원/유로 환율,1370.93,D
20200720,원/달러 환율,1205.7,D
20200720,원/엔 환율,1126.51,D
20200720,원/유로 환율,1379.14,D
20200721,원/달러 환율,1203.7,D
20200721,원/엔 환율,1122.28,D
20200721,원/유로 환율,1378.24,D
20200722,원/달러 환율,1198.1,D
20200722,원/엔 환율,1121.45,D
20200722,원/유로 환율,1381.89,D
20200723,원/달러 환율,1193.7,D
20200723,원/엔 환율,1113.79,D
20200723,원/유로 환율,1381.05,D
20200724,원/달러 환율,1198.5,D
20200724,원/엔 환율,1121.82,D
20200724,원/유로 환율,1390.02,D
20200727,원/달러 환율,1201.3,D
20200727,원/엔 환율,1133.03,D
20200727,원/유로 환율,1399.15,D
20200728,원/달러 환율,1196.6,D
20200728,원/엔 환율,1135.89,D
20200728,원/유로 환율,1406.66,D
20200729,원/달러 환율,1195.1,D
20200729,원/엔 환율,1137.05,D
20200729,원/유로 환율,1400.72,D
20200730,원/달러 환율,1195.2,D
20200730,원/엔 환율,1138.39,D
20200730,원/유로 환율,1408.78,D
20200731,원/달러 환율,1191.4,D
20200731,원/엔 환율,1137.32,D
20200731,원/유로 환율,1411.21,D
202008,기준금리,0.5,M
20200803,원/달러 환율,1189.1,D
20200803,원/엔 환율,1123.97,D
20200803,원/유로 환율,1402.37,D
20200804,원/달러 환율,1193.7,D
20200804,원/엔 환율,1125.87,D
20200804,원/유로 환율,1403.67,D
20200805,원/달러 환율,1193.5,D
20200805,원/엔 환율,1128.45,D
20200805,원/유로 환율,1408.09,D
20200806,원/달러 환율,1190.3,D
20200806,원/엔 환율,1127.12,D
20200806,원/유로 환율,1413.01,D
20200807,원/달러 환율,1184.3,D
20200807,원/엔 환율,1122.45,D
20200807,원/유로 환율,1406.89,D
20200810,원/달러 환율,1185.9,D
20200810,원/엔 환율,1119.88,D
20200810,원/유로 환율,1397.29,D
20200811,원/달러 환율,1186.7,D
20200811,원/엔 환율,1119.9,D
20200811,원/유로 환율,1393.13,D
20200812,원/달러 환율,1184.9,D
20200812,원/엔 환율,1112.63,D
20200812,원/유로 환율,1391.01,D
20200813,원/달러 환율,1186.0,D
20200813,원/엔 환율,1109.81,D
20200813,원/유로 환율,1397.76,D
20200814,원/달러 환율,1183.6,D
20200814,원/엔 환율,1106.48,D
20200814,원/유로 환율,1398.6,D
20200818,원/달러 환율,1185.8,D
20200818,원/엔 환율,1118.42,D
20200818,원/유로 환율,1408.26,D
20200819,원/달러 환율,1185.1,D
20200819,원/엔 환율,1124.44,D
20200819,원/유로 환율,1414.54,D
20200820,원/달러 환율,1182.3,D
20200820,원/엔 환율,1115.11,D
20200820,원/유로 환율,1400.97,D
20200821,원/달러 환율,1186.3,D
20200821,원/엔 환율,1121.9,D
20200821,원/유로 환율,1407.84,D
20200824,원/달러 환율,1185.3,D
20200824,원/엔 환율,1119.42,D
20200824,원/유로 환율,1398.77,D
20200825,원/달러 환율,1190.0,D
