timestamp,name,ticker,close,open,high,low,volume
2025-11-13 20:00:04,SK하이닉스,000660.KS,612000.0,607000.0,622000.0,607000.0,4947983,success
2025-11-14 08:00:02,코스피,^KS11,4170.6298828125,0.0,0.0,0.0,0,success
2025-11-14 08:00:03,코스닥,^KQ11,918.3699951171875,0.0,0.0,0.0,0,success
2025-11-14 08:00:03,KODEX200,069500.KS,59070.0,58390.0,59360.0,58355.0,12559270,success
2025-11-14 08:00:03,삼성전자,005930.KS,102800.0,102500.0,104200.0,102300.0,20838741,success
2025-11-14 08:00:03,SK하이닉스,000660.KS,612000.0,607000.0,622000.0,607000.0,3875541,success
2025-11-14 20:00:03,코스피,^KS11,4011.570068359375,4061.909912109375,4092.760009765625,4011.39990234375,399992,success
2025-11-14 20:00:03,코스닥,^KQ11,897.9000244140625,900.4199829101562,910.0399780273438,897.0900268554688,831830,success
2025-11-14 20:00:03,KODEX200,069500.KS,56510.0,57315.0,57700.0,56510.0,17102399,success
2025-11-14 20:00:03,삼성전자,005930.KS,97200.0,99000.0,99600.0,97200.0,23630334,success
2025-11-14 20:00:03,SK하이닉스,000660.KS,560000.0,579000.0,585000.0,560000.0,6233324,success
2025-11-15 08:00:03,코스피,^KS11,4011.570068359375,4061.909912109375,4092.760009765625,4011.39990234375,399992,success
2025-11-15 08:00:03,코스닥,^KQ11,897.9000244140625,900.4199829101562,910.0399780273438,897.0900268554688,831830,success
2025-11-15 08:00:03,KODEX200,069500.KS,56510.0,57315.0,57700.0,56510.0,17102390,success
2025-11-15 08:00:04,삼성전자,005930.KS,97200.0,99000.0,99600.0,97200.0,21806342,success
2025-11-15 08:00:04,SK하이닉스,000660.KS,560000.0,579000.0,585000.0,560000.0,5778374,success
2025-11-15 20:00:03,코스피,^KS11,4011.570068359375,4061.909912109375,4092.760009765625,4011.39990234375,400000,success
2025-11-15 20:00:03,코스닥,^KQ11,897.9000244140625,900.4199829101562,910.0399780273438,897.0900268554688,800,success
2025-11-15 20:00:03,KODEX200,069500.KS,56510.0,57315.0,57700.0,56510.0,17102390,success
2025-11-15 20:00:03,삼성전자,005930.KS,97200.0,99000.0,99600.0,97200.0,21806342,success
2025-11-15 20:00:03,SK하이닉스,000660.KS,560000.0,579000.0,585000.0,560000.0,5778374,success
2025-11-16 08:00:03,코스피,^KS11,4011.570068359375,4061.909912109375,4092.760009765625,4011.39990234375,400000,success
2025-11-16 08:00:03,코스닥,^KQ11,897.9000244140625,900.4199829101562,910.0399780273438,897.0900268554688,800,success
2025-11-16 08:00:03,KODEX200,069500.KS,56510.0,57315.0,57700.0,56510.0,17102390,success
2025-11-16 08:00:04,삼성전자,005930.KS,97200.0,99000.0,99600.0,97200.0,21806342,success
2025-11-16 08:00:04,SK하이닉스,000660.KS,560000.0,579000.0,585000.0,560000.0,5778374,success
2025-11-16 20:00:03,코스피,^KS11,4011.570068359375,4061.909912109375,4092.760009765625,4011.39990234375,400000,success
2025-11-16 20:00:04,코스닥,^KQ11,897.9000244140625,900.4199829101562,910.0399780273438,897.0900268554688,800,success
2025-11-16 20:00:04,KODEX200,069500.KS,56510.0,57315.0,57700.0,56510.0,17102390,success
2025-11-16 20:00:04,삼성전자,005930.KS,97200.0,99000.0,99600.0,97200.0,21806342,success
2025-11-16 20:00:04,SK하이닉스,000660.KS,560000.0,579000.0,585000.0,560000.0,5778374,success
2025-11-17 08:00:03,코스피,^KS11,4011.570068359375,4061.909912109375,4092.760009765625,4011.39990234375,400000,success
2025-11-17 08:00:03,코스닥,^KQ11,897.9000244140625,900.4199829101562,910.0399780273438,897.0900268554688,800,success
2025-11-17 08:00:03,KODEX200,069500.KS,56510.0,57315.0,57700.0,56510.0,17102390,success
