keyword,title,link,description,pubDate,originallink,pubDate_parsed,date
부동산,[기자수첩]'주식빚투' 괜찮다?…<b>부동산</b> '부메랑' 된다면,https://n.news.naver.com/mnews/article/648/0000042247?sid=101,하지만 <b>부동산</b> 시장은 반대다. 안정이 목표지만 집값 불안은 여전히 진행형이다. 코스피의 상승세에 비할... <b>부동산</b> 시장을 놓고 '비생산적 분야'라고 평가하는 이재명 정부다. <b>부동산</b> 시장 안정 측면에서도 집값 급등이... ,"Mon, 01 Dec 2025 06:36:00 +0900",http://news.bizwatch.co.kr/article/real_estate/2025/11/27/0014,2025-12-01 06:36:00+09:00,2025-12-01
코스피,"3분기 자산운용사 순이익, <b>코스피</b> 강세 힘입어 128.5%↑",https://n.news.naver.com/mnews/article/001/0015770332?sid=101,올해 3분기 자산운용사 당기순이익이 국내 증시 강세로 수탁고와 운용보수 등이 늘면서 작년 동기 대비 130% 가까이 늘었다. 금융감독원이 1일 발표한 '2025년 3분기 자산운용회사 영업실적(잠정)'에 따르면 올해... ,"Mon, 01 Dec 2025 06:00:00 +0900",https://www.yna.co.kr/view/AKR20251129019700002?input=1195m,2025-12-01 06:00:00+09:00,2025-12-01
경제,"한·세르비아, 포괄적<b>경제</b>동반자협정 첫 공식 협상",https://n.news.naver.com/mnews/article/001/0015770329?sid=101,"산업통상부는 세르비아와의 포괄적 <b>경제</b>동반자협정(CEPA) 체결을 위한 1차 공식 협상이 1∼4일 서울에서... 이번 협상에서 양국은 상품 양허, 원산지, 통관, <b>경제</b>협력 등 총 10개 분과를 논의할 예정이다. 양국은 지난해 9월... ","Mon, 01 Dec 2025 06:00:00 +0900",https://www.yna.co.kr/view/AKR20251130026500003?input=1195m,2025-12-01 06:00:00+09:00,2025-12-01
경제,케빈 해싯 백악관 <b>경제</b>위원장 &quot;연준 의장 지명되면 기꺼이 맡을것&quot;,https://n.news.naver.com/mnews/article/003/0013630631?sid=104,미국 연방준비제도(Fed·연준) 차기 의장 후보로 거론되는 케빈 해싯 백악관 국가<b>경제</b>위원회(NEC) 위원장이 자신이 지명될 가능성을 부인하지 않았다. 폭스뉴스에 따르면 해싯 위원장은 30일(현지 시간) 폭스 앤 프렌즈에... ,"Mon, 01 Dec 2025 05:04:00 +0900",https://www.newsis.com/view/NISX20251201_0003422686,2025-12-01 05:04:00+09:00,2025-12-01
부동산,"“<b>부동산</b>發 가계 빚, 매년 민간소비 증가율 0.4%P 둔화시켜”",https://n.news.naver.com/mnews/article/020/0003678278?sid=101,<b>부동산</b> 투자를 중심으로 급증한 가계부채가 소비를 제약하는 구조적 요인이 됐다는 분석이 나왔다. 30일 한국은행이 발표한 ‘<b>부동산</b>발 가계 부채 누증이 소비에 미치는 영향’ 보고서에 따르면 가계 신용(빚)이... ,"Mon, 01 Dec 2025 03:01:00 +0900",https://www.donga.com/news/Economy/article/all/20251130/132871970/2,2025-12-01 03:01:00+09:00,2025-12-01
경제,해싯 美백악관 <b>경제</b>위원장 “연준 의장 지명되면 기꺼이 봉사”,https://n.news.naver.com/mnews/article/022/0004086529?sid=104,차기 연준 의장 유력 관측 차기 연방준비제도(Fed·연준) 의장으로 유력하다는 관측이 나오고 있는 케빈 해싯 미국 백악관 국가<b>경제</b>위원회 위원장(사진)이 “도널드 트럼프 대통령이 나를 (연준 의장으로) 지명한다면... ,"Mon, 01 Dec 2025 00:37:00 +0900",https://www.segye.com/newsView/20251201500155?OutUrl=naver,2025-12-01 00:37:00+09:00,2025-12-01
경제,해싯 미 백악관 <b>경제</b>위원장 “연준 의장 지명되면 기꺼이 봉사”,https://n.news.naver.com/mnews/article/056/0012076525?sid=104,"케빈 해싯 미국 백악관 국가<b>경제</b>위원회(NEC) 위원장은 자신이 미 중앙은행인 연방준비제도(Fed·연준) 차기 의장으로 유력하다는 언론 보도와 관련, &quot;도널드 트럼프 대통령이 나를 지명한다면, 기꺼이 봉사할 것&quot;이라고... ","Mon, 01 Dec 2025 00:19:00 +0900",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8420980&ref=A,2025-12-01 00:19:00+09:00,2025-12-01
부동산,"급증 가계빚, <b>부동산</b>으로 몰려 소비 위축시키는 결과 낳았다",https://n.news.naver.com/mnews/article/005/0001817566?sid=101,<b>부동산</b>을 중심으로 불어난 가계부채로 인해 2013년 이후 국내 민간소비가 매년 0.4% 포인트 정도 둔화됐다고 한국은행이 분석했다. 대출로 늘어난 돈이 <b>부동산</b>으로 주로 흘러가다 보니 국내 소비를 제약하는 구조적... ,"Mon, 01 Dec 2025 00:15:00 +0900",https://www.kmib.co.kr/article/view.asp?arcid=1764487472&code=11151100&cp=nv,2025-12-01 00:15:00+09:00,2025-12-01
경제,해싯 미 백악관 <b>경제</b>위원장 &quot;연준 의장 지명되면 기꺼이 봉사&quot;,https://n.news.naver.com/mnews/article/055/0001312151?sid=104,"▲ 케빈 해싯 백악관 국가<b>경제</b>위원회(NEC) 위원장 케빈 해싯 미국 백악관 국가<b>경제</b>위원회(NEC) 위원장은 30일(현지시간) 자신이 미 중앙은행인 연방준비제도(Fed·연준) 차기 의장으로 유력하다는 언론 보도와 관련, &quot;도널드... ","Mon, 01 Dec 2025 00:12:00 +0900",https://news.sbs.co.kr/news/endPage.do?news_id=N1008350592&plink=ORI&cooper=NAVER,2025-12-01 00:12:00+09:00,2025-12-01
경제,해싯 美백악관 <b>경제</b>위원장 &quot;연준 의장 지명되면 기꺼이 봉사&quot;,https://n.news.naver.com/mnews/article/001/0015770297?sid=104,"박성민 특파원 = 케빈 해싯 미국 백악관 국가<b>경제</b>위원회(NEC) 위원장은 30일(현지시간) 자신이 미 중앙은행인 연방준비제도(Fed·연준) 차기 의장으로 유력하다는 언론 보도와 관련, &quot;도널드 트럼프 대통령이 나를 지명한다면... ","Mon, 01 Dec 2025 00:09:00 +0900",https://www.yna.co.kr/view/AKR20251201000200071?input=1195m,2025-12-01 00:09:00+09:00,2025-12-01
